Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"C5,C7,C11,C6,C3,C12,C9,C2,C4,C17,C8",C_0402_1005Metric,11,0.1uF,
2,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
3,D2,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,
4,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
5,"C16,C15",C_0402_1005Metric,2,15pF,
6,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,
7,"R6,R7",R_0402_1005Metric,2,27,
8,"C14,C13",C_0402_1005Metric,2,10uF,
9,U2,SOT-23,1,MCP1700x-330xxTT,
10,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
11,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
12,R4,R_0402_1005Metric,1,10k,
13,"C1,C10",C_0402_1005Metric,2,1uF,
14,R5,R_0402_1005Metric,1,1k,
15,"R1,R2",R_0402_1005Metric,2,5.1k,
16,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
17,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
18,R3,R_0402_1005Metric,1,1K,
